varnum,variable,description,sequence_number
8136,B15002_034,SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER for Universe:  Population 25 Years And Over% Female:% Professional school degree,43
8137,B15002_035,SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER for Universe:  Population 25 Years And Over% Female:% Doctorate degree,43
8893,B17001_001,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE for Universe:  Population For Whom Poverty Status Is Determined% Total:,48
8894,B17001_002,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE for Universe:  Population For Whom Poverty Status Is Determined% Income in the past 12 months below poverty level:,48
12434,B19113_001,MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) for Universe:  Families% Median family income in the past 12 months (in 2015 Inflation-adjusted dollars),64
15020,B23025_002,EMPLOYMENT STATUS FOR THE POPULATION 16 YEARS AND OVER for Universe:  Population 16 Years And Over% In labor force:,79
15023,B23025_005,EMPLOYMENT STATUS FOR THE POPULATION 16 YEARS AND OVER for Universe:  Population 16 Years And Over% In labor force:% Civilian labor force:% Unemployed,79
19325,B25003_002,TENURE for Universe:  Occupied Housing Units% Owner occupied,103
19817,B25035_001,MEDIAN YEAR STRUCTURE BUILT for Universe:  Housing Units% Median year structure built,105
20285,B25077_001,MEDIAN VALUE (DOLLARS) for Universe:  Owner-Occupied Housing Units% Median value (dollars),106
